Organization Name,Type,Full-Time Employees,Part-Time Employees,Volunteers,City,Region,Planned Projects,Executed Projects,Rating (out of 100),Supervising Ministry,Target Group,Main Activity Area,Founded Year,Accreditation Status,Number of Beneficiaries,Workshops Conducted,Training Sessions Conducted,Volunteer Hours Contributed,Staff Retention Rate (%),Digital Presence
Society Harmony Network,Charitable,32,21,165,Riyadh,Northern,2,1,80,Ministry of Health,Orphans,Training,2005,Pending,8881,38,37,5714,94,Yes
Foundation Innovation for Youth,Health,45,5,109,Taif,Northern,7,17,84,Ministry of Municipal and Rural Affairs,Job Seekers,Relief,2009,Accredited,3299,16,90,8994,88,No
Center Progress Group,Youth,38,15,249,Medina,Western,5,13,85,Ministry of Culture,Youth,Capacity Building,2002,Unaccredited,4472,84,61,3225,78,Yes
Association Progress for Change,Health,22,6,201,Jeddah,Western,16,9,86,"Ministry of Environment, Water and Agriculture",Elderly,Training,2007,Pending,962,35,56,4986,87,Yes
Association Prosperity Group,Environmental,16,14,203,Medina,Western,17,19,69,"Ministry of Environment, Water and Agriculture",Students,Relief,1993,Pending,7051,60,55,6339,84,Yes
Association Progress Network,Cultural,13,2,287,Makkah,Southern,6,17,74,"Ministry of Environment, Water and Agriculture",Refugees,Capacity Building,2012,Unaccredited,504,23,96,4796,62,Yes
Initiative Compassion for Development,Environmental,38,6,195,Abha,Northern,18,15,98,Ministry of Communications and Information Technology,Students,Relief,2022,Accredited,6024,15,7,4499,77,No
Center Progress for Communities,Youth,38,12,62,Jeddah,Eastern,20,9,61,Ministry of Education,Refugees,Awareness,1990,Accredited,1453,58,94,9727,92,Yes
Initiative Compassion for Development,Charitable,45,4,10,Taif,Eastern,4,0,66,Ministry of Communications and Information Technology,Orphans,Awareness,2000,Accredited,1905,100,47,9634,85,Yes
Association Harmony for Development,Development,33,19,217,Jeddah,Western,11,11,95,Ministry of Municipal and Rural Affairs,Patients,Awareness,1995,Accredited,585,46,1,3396,79,No
Center Hope for Development,Educational,50,14,259,Tabuk,Northern,13,19,82,Ministry of Education,Disabled,Awareness,2013,Pending,3217,68,82,6376,70,No
Society Compassion for Communities,Social Services,47,22,211,Dammam,Southern,3,3,78,Ministry of Education,Elderly,Relief,1996,Pending,6010,55,98,7414,66,Yes
Association Care Network,Environmental,22,20,118,Riyadh,Northern,10,12,64,Ministry of Communications and Information Technology,Families,Awareness,1998,Accredited,5843,52,89,7237,86,Yes
Center Growth Network,Youth,25,7,12,Najran,Eastern,2,13,88,Ministry of Health,Students,Community Engagement,2017,Pending,1205,88,62,6854,93,Yes
Association Development Group,Environmental,45,20,124,Abha,Western,11,11,91,Ministry of Health,Elderly,Capacity Building,2021,Accredited,1302,96,50,9742,100,Yes
Association Development Group,Technology,8,28,107,Dammam,Northern,9,2,76,Ministry of Health,Patients,Relief,2020,Unaccredited,6041,29,100,7226,82,No
Foundation Hope Initiative,Health,7,11,175,Medina,Northern,5,6,67,Ministry of Human Resources and Social Development,Elderly,Training,1990,Pending,8509,34,49,3882,80,Yes
Society Compassion Group,Social Services,11,14,236,Najran,Western,2,6,62,Ministry of Human Resources and Social Development,Elderly,Relief,1990,Accredited,1148,83,23,2451,79,Yes
Center Harmony Mission,Health,46,24,229,Abha,Southern,4,14,86,Ministry of Health,Elderly,Awareness,2018,Accredited,4861,2,10,1873,95,No
Foundation Progress Mission,Environmental,8,12,174,Abha,Central,16,6,84,Ministry of Education,Disabled,Relief,2010,Accredited,6639,98,11,4551,63,No
Foundation Care Group,Health,3,17,150,Makkah,Western,1,10,72,Ministry of Health,Patients,Awareness,1990,Pending,3172,96,35,4175,85,Yes
Association Innovation for Youth,Charitable,10,11,297,Jeddah,Eastern,17,18,87,Ministry of Municipal and Rural Affairs,Students,Research,2002,Pending,1644,23,98,671,78,No
Center Development Mission,Health,7,2,172,Medina,Eastern,14,5,93,Ministry of Human Resources and Social Development,Disabled,Awareness,2008,Accredited,2161,70,19,2486,60,No
Foundation Compassion for Change,Environmental,22,25,258,Taif,Eastern,15,7,65,Ministry of Human Resources and Social Development,Youth,Community Engagement,2000,Pending,8989,1,36,5608,80,No
Center Growth Initiative,Educational,17,5,57,Medina,Western,9,10,84,Ministry of Culture,Families,Community Engagement,1993,Accredited,5011,75,43,9023,62,No
Center Progress Initiative,Youth,6,22,299,Taif,Eastern,17,1,70,Ministry of Education,Students,Research,1991,Unaccredited,9404,51,81,669,72,No
Foundation Development Mission,Social Services,48,1,212,Abha,Northern,3,1,64,Ministry of Economy and Planning,Youth,Relief,1996,Pending,8998,45,77,5528,65,No
Foundation Hope Initiative,Social Services,43,10,23,Abha,Central,16,19,70,Ministry of Communications and Information Technology,Orphans,Advocacy,2012,Pending,899,93,78,6871,69,No
Association Compassion for Communities,Educational,31,17,99,Medina,Southern,19,9,93,"Ministry of Environment, Water and Agriculture",Patients,Awareness,1996,Unaccredited,4103,79,25,1132,61,No
Association Unity for Change,Cultural,33,26,264,Najran,Northern,19,3,84,Ministry of Health,Elderly,Training,2022,Accredited,2404,87,9,8617,86,Yes
Foundation Harmony Network,Health,13,21,222,Riyadh,Western,9,7,80,Ministry of Economy and Planning,Elderly,Awareness,2005,Accredited,4910,42,69,4557,99,Yes
Association Growth Initiative,Social Services,18,30,227,Tabuk,Central,16,20,81,Ministry of Economy and Planning,Elderly,Research,2015,Unaccredited,1855,9,96,2340,98,No
Center Growth Network,Health,10,29,193,Dammam,Eastern,6,2,95,Ministry of Communications and Information Technology,Patients,Research,1990,Accredited,9088,77,28,7208,70,Yes
Society Hope Network,Social Services,11,13,211,Makkah,Western,16,10,83,Ministry of Communications and Information Technology,Families,Training,2010,Pending,1284,77,44,7152,92,Yes
Society Progress for Development,Health,46,7,101,Najran,Western,17,14,80,Ministry of Education,Students,Capacity Building,1994,Unaccredited,138,98,28,1355,69,No
Foundation Innovation Mission,Health,46,2,291,Riyadh,Northern,10,3,77,Ministry of Education,Disabled,Community Engagement,2010,Pending,4939,26,41,9856,77,No
Society Innovation for Change,Charitable,46,2,45,Riyadh,Southern,15,11,77,Ministry of Education,Disabled,Advocacy,1993,Accredited,1273,88,85,3887,77,No
Foundation Care Group,Health,27,28,54,Medina,Central,7,16,80,Ministry of Education,Youth,Awareness,2003,Pending,6138,13,19,1534,81,Yes
Society Innovation Initiative,Health,3,27,109,Tabuk,Eastern,7,1,75,Ministry of Communications and Information Technology,Disabled,Relief,2019,Pending,3689,13,82,4821,75,No
Association Innovation for Communities,Social Services,12,13,170,Hail,Southern,19,18,94,"Ministry of Environment, Water and Agriculture",Students,Awareness,1992,Accredited,9357,70,50,517,95,Yes
Center Unity Initiative,Cultural,24,14,33,Najran,Western,7,16,74,"Ministry of Environment, Water and Agriculture",Disabled,Relief,2009,Accredited,4708,98,41,3928,85,Yes
Foundation Light for Development,Environmental,12,2,270,Jeddah,Northern,2,18,78,Ministry of Culture,Orphans,Awareness,1998,Accredited,8537,70,33,2036,66,Yes
Foundation Unity for Youth,Charitable,47,2,295,Tabuk,Northern,7,4,80,Ministry of Economy and Planning,Job Seekers,Training,2017,Accredited,6481,95,68,1207,86,No
Association Innovation for Youth,Environmental,38,21,157,Taif,Eastern,3,18,72,Ministry of Education,Youth,Advocacy,2010,Pending,1853,47,10,7296,94,No
Association Unity for Development,Cultural,28,22,53,Abha,Southern,7,8,80,Ministry of Economy and Planning,Families,Relief,2012,Unaccredited,7138,25,13,9002,74,Yes
Center Light Initiative,Educational,25,26,54,Medina,Southern,14,14,60,Ministry of Education,Students,Awareness,2018,Unaccredited,9461,26,61,1411,76,No
Association Innovation Network,Social Services,6,25,159,Hail,Southern,4,8,63,Ministry of Health,Families,Capacity Building,2012,Pending,3600,85,61,2802,86,No
Initiative Growth Network,Charitable,47,18,268,Tabuk,Western,3,6,83,Ministry of Health,Families,Training,1997,Pending,3258,58,84,105,87,Yes
Society Development for Development,Educational,33,20,278,Dammam,Western,6,14,93,Ministry of Education,Job Seekers,Awareness,1992,Unaccredited,7391,95,27,2332,73,Yes
Foundation Hope for Communities,Development,22,16,172,Medina,Eastern,15,6,68,"Ministry of Environment, Water and Agriculture",Families,Community Engagement,2006,Unaccredited,5690,57,21,8173,83,No
Foundation Light for Communities,Social Services,12,19,119,Najran,Central,15,17,81,Ministry of Economy and Planning,Students,Awareness,2022,Unaccredited,254,8,23,3883,79,Yes
Initiative Prosperity Mission,Educational,13,25,35,Jeddah,Central,5,8,64,Ministry of Culture,Students,Relief,2019,Pending,4177,18,17,3546,80,Yes
Association Care Group,Technology,6,24,169,Riyadh,Western,17,2,93,Ministry of Education,Youth,Advocacy,1994,Accredited,2513,5,76,4489,76,No
Center Growth Network,Environmental,8,15,224,Abha,Eastern,15,15,67,"Ministry of Environment, Water and Agriculture",Students,Relief,2021,Pending,9224,37,57,3539,64,Yes
Center Development for Communities,Health,48,22,244,Makkah,Northern,12,11,96,Ministry of Health,Orphans,Advocacy,2017,Unaccredited,7453,78,84,3499,97,No
Society Prosperity Initiative,Development,40,3,167,Dammam,Central,13,20,60,Ministry of Municipal and Rural Affairs,Job Seekers,Research,2019,Accredited,8597,12,87,4309,70,No
Association Innovation for Communities,Cultural,39,4,273,Taif,Northern,1,11,94,Ministry of Health,Youth,Community Engagement,2022,Unaccredited,5334,27,19,3644,94,No
Association Growth for Development,Charitable,14,4,74,Hail,Eastern,9,2,76,Ministry of Communications and Information Technology,Refugees,Relief,1996,Unaccredited,1380,76,61,9619,95,Yes
Society Harmony Group,Charitable,30,26,140,Medina,Western,5,20,90,Ministry of Municipal and Rural Affairs,Refugees,Training,1991,Accredited,1734,92,80,5301,78,No
Foundation Light Group,Environmental,47,27,83,Hail,Southern,19,20,86,Ministry of Economy and Planning,Refugees,Relief,2007,Accredited,9120,100,81,8437,90,No
Society Compassion Initiative,Development,35,11,76,Abha,Northern,15,17,60,Ministry of Municipal and Rural Affairs,Families,Capacity Building,2004,Pending,234,62,90,2228,66,No
Society Unity Group,Technology,34,18,236,Dammam,Western,10,19,98,Ministry of Human Resources and Social Development,Families,Advocacy,1994,Accredited,5552,71,14,896,66,No
Association Prosperity for Change,Development,3,28,276,Jeddah,Eastern,14,6,68,Ministry of Economy and Planning,Orphans,Awareness,1997,Unaccredited,870,87,7,3949,84,Yes
Center Care Initiative,Health,31,29,178,Makkah,Northern,18,5,73,Ministry of Municipal and Rural Affairs,Disabled,Community Engagement,2017,Accredited,5331,42,25,3226,85,Yes
Association Light for Development,Development,38,18,49,Tabuk,Eastern,9,5,71,Ministry of Human Resources and Social Development,Job Seekers,Community Engagement,1997,Unaccredited,5625,14,59,5035,74,Yes
Center Compassion for Youth,Technology,45,1,20,Makkah,Western,13,16,71,Ministry of Health,Youth,Capacity Building,1990,Pending,2380,66,68,1762,68,No
Center Growth Initiative,Cultural,30,21,270,Tabuk,Southern,13,5,79,Ministry of Health,Elderly,Research,2002,Accredited,1372,68,72,6170,99,Yes
Association Growth Network,Youth,11,4,174,Makkah,Southern,5,6,75,Ministry of Health,Students,Capacity Building,2017,Pending,1702,6,82,558,96,Yes
Society Development Initiative,Cultural,14,5,74,Riyadh,Southern,7,16,82,Ministry of Economy and Planning,Patients,Advocacy,2009,Pending,6991,70,92,8281,72,No
Association Light for Change,Cultural,2,15,208,Taif,Southern,3,14,70,Ministry of Economy and Planning,Patients,Relief,1990,Pending,8138,54,99,8649,79,No
Initiative Hope for Change,Social Services,46,5,265,Jeddah,Northern,2,7,93,Ministry of Economy and Planning,Families,Capacity Building,2022,Unaccredited,2537,68,2,3615,88,Yes
Foundation Care for Youth,Charitable,23,4,286,Abha,Eastern,3,14,91,"Ministry of Environment, Water and Agriculture",Refugees,Awareness,1994,Pending,5255,1,73,5368,99,No
Association Compassion for Youth,Health,40,13,139,Najran,Southern,11,9,87,Ministry of Economy and Planning,Youth,Community Engagement,2012,Pending,3397,96,18,8457,64,Yes
Initiative Unity Network,Charitable,29,28,199,Jeddah,Northern,11,15,74,Ministry of Culture,Families,Relief,1998,Accredited,7296,81,47,6032,96,No
Center Light Mission,Cultural,26,12,25,Tabuk,Southern,2,2,83,Ministry of Municipal and Rural Affairs,Refugees,Advocacy,2019,Unaccredited,3334,99,7,7249,70,Yes
Center Unity Group,Charitable,6,17,264,Najran,Northern,16,16,80,"Ministry of Environment, Water and Agriculture",Disabled,Training,2018,Accredited,5576,84,10,4770,97,No
Initiative Hope for Change,Cultural,3,24,191,Taif,Southern,2,18,66,"Ministry of Environment, Water and Agriculture",Students,Community Engagement,2012,Pending,8682,70,91,3100,66,Yes
Center Innovation Network,Charitable,43,18,148,Dammam,Eastern,14,20,92,Ministry of Economy and Planning,Youth,Advocacy,2014,Accredited,5570,24,97,2069,61,Yes
Association Harmony for Change,Educational,30,5,46,Abha,Eastern,9,8,63,Ministry of Municipal and Rural Affairs,Job Seekers,Training,2011,Accredited,7386,4,41,8322,96,No
Foundation Prosperity for Youth,Technology,16,28,118,Abha,Eastern,5,8,77,Ministry of Human Resources and Social Development,Families,Advocacy,2007,Pending,8464,40,43,1585,70,Yes
Center Compassion for Change,Social Services,31,8,79,Riyadh,Southern,4,15,100,Ministry of Culture,Disabled,Capacity Building,2019,Pending,3601,29,78,8637,79,Yes
Center Hope Mission,Charitable,35,19,79,Riyadh,Western,4,10,86,"Ministry of Environment, Water and Agriculture",Elderly,Awareness,1998,Accredited,6501,25,22,4899,89,Yes
Association Care Network,Youth,4,23,115,Abha,Northern,16,2,79,Ministry of Communications and Information Technology,Orphans,Awareness,2016,Accredited,3329,25,41,6315,71,Yes
Society Care Mission,Technology,25,9,278,Riyadh,Central,8,1,71,Ministry of Communications and Information Technology,Elderly,Awareness,2009,Unaccredited,5338,25,16,8400,94,Yes
Society Care Group,Educational,24,4,115,Hail,Western,10,10,81,Ministry of Health,Patients,Capacity Building,1998,Unaccredited,2934,94,25,1174,63,Yes
Association Development for Youth,Cultural,50,10,282,Taif,Western,6,19,83,Ministry of Education,Youth,Relief,2015,Accredited,1987,33,79,1395,81,Yes
Society Empowerment for Development,Social Services,18,17,46,Makkah,Southern,14,6,65,Ministry of Education,Job Seekers,Training,2022,Accredited,4443,32,21,5158,91,Yes
Initiative Care Initiative,Environmental,37,8,20,Abha,Western,7,1,68,Ministry of Culture,Job Seekers,Advocacy,2013,Pending,5738,16,57,3775,82,No
Association Development for Youth,Social Services,24,20,20,Najran,Eastern,6,8,61,Ministry of Municipal and Rural Affairs,Refugees,Research,2004,Unaccredited,8678,14,50,2705,76,No
Foundation Prosperity for Development,Educational,12,23,143,Riyadh,Central,4,4,72,Ministry of Municipal and Rural Affairs,Orphans,Capacity Building,2017,Accredited,6198,72,80,5223,80,Yes
Center Compassion Network,Environmental,9,19,124,Taif,Southern,3,1,78,Ministry of Culture,Families,Relief,2010,Pending,6389,13,98,9336,79,Yes
Foundation Prosperity Group,Social Services,11,4,21,Hail,Eastern,18,19,94,Ministry of Economy and Planning,Refugees,Advocacy,2017,Unaccredited,8751,82,51,5473,98,No
Center Progress Mission,Educational,34,26,32,Hail,Central,12,6,98,Ministry of Communications and Information Technology,Disabled,Awareness,2020,Pending,6983,50,92,2782,88,Yes
Center Innovation for Change,Development,20,17,134,Jeddah,Western,18,2,84,Ministry of Municipal and Rural Affairs,Job Seekers,Capacity Building,2020,Accredited,880,24,15,675,79,No
Society Light for Youth,Technology,48,13,206,Medina,Southern,16,15,86,"Ministry of Environment, Water and Agriculture",Orphans,Research,1991,Pending,1924,40,95,6530,82,Yes
Initiative Light Network,Technology,23,3,152,Riyadh,Eastern,9,9,69,"Ministry of Environment, Water and Agriculture",Refugees,Training,2003,Unaccredited,9869,32,84,2014,61,No
Foundation Harmony for Development,Cultural,5,14,262,Hail,Central,1,9,82,Ministry of Communications and Information Technology,Families,Capacity Building,2011,Accredited,3501,73,41,3575,97,No
Initiative Harmony for Youth,Youth,45,11,168,Medina,Eastern,15,14,96,Ministry of Economy and Planning,Orphans,Training,2020,Pending,1638,60,84,4840,96,No
Society Harmony for Youth,Environmental,41,15,127,Jeddah,Northern,12,2,71,"Ministry of Environment, Water and Agriculture",Disabled,Training,2018,Pending,3507,65,45,3754,76,Yes
Center Empowerment for Change,Development,9,18,21,Riyadh,Northern,19,19,96,Ministry of Communications and Information Technology,Patients,Awareness,2012,Pending,5913,84,30,916,85,Yes
Foundation Unity for Development,Cultural,44,11,298,Abha,Southern,11,9,76,Ministry of Municipal and Rural Affairs,Patients,Research,1990,Unaccredited,5051,76,10,5541,69,Yes
